Institution,City,Country,Website,Latitude,Longitude
Université des Mascareignes (UdM) - School of Built Environment & Architecture,Beau Bassin-Rose Hill,Mauritius,https://udm.ac.mu,-20.2333,57.4667
École Nationale Supérieure d'Architecture de Nantes (ENSA Nantes) - Mauritius Campus,Pierrefonds,Mauritius,https://nantes-archi.mu,-20.3283,57.4794
"University of Technology, Mauritius (UTM) - School of Sustainable Development & Tourism - Architecture",Pointe aux Sables,Mauritius,https://www.utm.ac.mu,-20.1,57.4833
University of Mauritius - Building & Construction Technology,Port Louis,Mauritius,https://www.uom.ac.mu,-20.1609,57.5012
École Nationale d'Architecture (ENSA) - Agadir,Agadir,Morocco,https://www.ensa.ma,30.4278,-9.5981
"University Mohammed VI Polytechnic (UM6P) - School of Architecture, Planning & Design",Benguerir,Morocco,https://www.um6p.ma,32.2333,-7.95
École d'Architecture de Casablanca (EAC) - Private Architecture School,Casablanca,Morocco,https://www.ecolearchicasa.com,33.5731,-7.5898
Ecole Nationale d'Architecture (Casablanca/Rabat) - ENSA,Casablanca/Rabat,Morocco,https://www.ensa.ma,33.5731,-7.5898
École Nationale d'Architecture (ENSA) - Fes,Fes,Morocco,https://www.ensa.ma,34.0333,-5.0
Private University of Fes (UPF) - Higher School of Architecture & Building Trades,Fes,Morocco,https://www.upf.ac.ma,34.0333,-5.0
Guelmim School of Technology - Architecture & Design Programs,Guelmim,Morocco,https://www.akdn.org,28.987,-10.0574
École Nationale d'Architecture (ENSA) - Marrakech,Marrakech,Morocco,https://www.ensa.ma,31.6295,-7.9811
Université Mohammed V - Faculty of Architecture (Rabat),Rabat,Morocco,https://www.um5.ac.ma,34.0209,-6.8416
Higher School of Architecture of Rabat (UIR) - Université Internationale de Rabat,Rabat,Morocco,https://www.uir.ac.ma,34.0209,-6.8416
École Nationale d'Architecture (ENSA) - Tetouan,Tetouan,Morocco,https://www.ensa.ma,35.5889,-5.3626
Universidade Eduardo Mondlane - Faculty of Architecture & Urbanism,Maputo,Mozambique,https://www.uem.mz,-25.9653,32.5892
Universidade Jean Piaget - (Mozambique) - Architecture-related,Maputo,Mozambique,https://www.upiaget.cv,-25.9653,32.5892
Universidade Lurio - Nampula (Mozambique) - Built Environment,Nampula,Mozambique,https://www.ulurio.ac.mz,-15.116,39.268
University of Namibia - Faculty of Engineering & Built Environment,Windhoek,Namibia,https://www.unam.edu.na,-22.5609,17.0658
"Namibia University of Science and Technology (NUST) - Department of Architecture, Planning & Construction",Windhoek,Namibia,https://www.nust.na,-22.5609,17.0658
College of the Arts (COTA) - Design & Architecture Studies,Windhoek,Namibia,https://www.cota.na,-22.5609,17.0658
International University of Management (IUM) - School of Engineering & Built Environment,Windhoek,Namibia,https://www.ium.edu.na,-22.5609,17.0658
University of Abuja - Architecture-related programs,Abuja,Nigeria,https://www.uniabuja.edu.ng,9.0765,7.3986
Nnamdi Azikiwe University - Architecture programs,Awka,Nigeria,https://unizik.edu.ng,6.2106,7.0707
University of Benin - Architecture-related programs,Benin City,Nigeria,https://www.uniben.edu,6.3382,5.6258
University of Ibadan - Architecture-related programs,Ibadan,Nigeria,https://www.ui.edu.ng,7.3775,3.947
Lead City University - School of Environmental Design & Architecture,Ibadan,Nigeria,https://www.lcu.edu.ng,7.3775,3.947
Obafemi Awolowo University - Dept. of Architecture,Ile-Ife,Nigeria,https://www.oauife.edu.ng,7.521,4.5714
University of Ilorin - Architecture / Built Environment,Ilorin,Nigeria,https://www.unilorin.edu.ng,8.5,4.5417
University of Lagos - Department of Architecture,Lagos,Nigeria,https://unilag.edu.ng,6.5244,3.3792
"University of Nigeria, Nsukka - Department of Architecture",Nsukka,Nigeria,https://www.unn.edu.ng,6.86,7.355
Covenant University - College of Science & Technology (Architecture),Ota,Nigeria,https://www.covenantuniversity.edu.ng,6.687,3.21
University of Port Harcourt - Architecture-related programs,Port Harcourt,Nigeria,https://www.uniport.edu.ng,4.8156,7.0498
Ahmadu Bello University - Department of Architecture,Zaria,Nigeria,https://www.abu.edu.ng,11.1117,7.7223
Université Abdou Moumouni - Engineering & Built Environment,Niamey,Niger,https://www.uam.refer.ne,13.5127,2.1128
Université Marien Ngouabi - Faculty of Architecture & Urban Planning,Brazzaville,Republic of Congo,https://www.umng.cg,-4.2699,15.2715
University Campus Denis Sassou Nguesso - Polytechnic School (Architecture & Built Environment),Kintele,Republic of Congo,https://www.ucdsnguesso.cg,-4.1135,15.2663
University of Rwanda - College of Science & Technology (Built Environment),Kigali,Rwanda,https://www.ur.ac.rw,-1.9706,30.1044
University Cheikh Anta Diop (UCAD) - Department of Architecture,Dakar,Senegal,https://www.ucad.edu.sn,14.6928,-17.4467
Université Gaston Berger - Saint-Louis (Architecture-related),Saint-Louis,Senegal,https://www.ugb.sn,16.0165,-16.4897
University of Seychelles - (Seychelles) - Built Environment,Victoria,Seychelles,https://www.siu.edu.sc,-4.6191,55.4513
University of Sierra Leone - Built Environment (Freetown),Freetown,Sierra Leone,https://www.usl.edu.sl,8.4657,-13.2317
Somali National University - Faculty of Engineering (Architectural Engineering),Mogadishu,Somalia,https://eng.snu.edu.so,2.0469,45.3182
City University of Mogadishu - College of Engineering & Computing (Architecture),Mogadishu,Somalia,https://cu.edu.so,2.0469,45.3182
"University of Cape Town - School of Architecture, Planning & Geomatics",Cape Town,South Africa,https://www.uct.ac.za,-33.9576,18.4603
University of KwaZulu-Natal - Architecture & Built Environment,Durban,South Africa,https://www.ukzn.ac.za,-29.8587,31.0218
Durban University of Technology (DUT) - Architecture & Built Environment,Durban,South Africa,https://www.dut.ac.za,-29.8587,31.0218
Nelson Mandela University - School of Architecture,Gqeberha (Port Elizabeth),South Africa,https://www.nelsonmandela.ac.za,-33.9608,25.6022
University of the Witwatersrand - School of Architecture and Planning,Johannesburg,South Africa,https://www.wits.ac.za,-26.1865,28.03
"University of Johannesburg - Faculty of Art, Design & Architecture",Johannesburg,South Africa,https://www.uj.ac.za,-26.2041,28.0473
"University of Pretoria - Faculty of Engineering, Built Environment & IT",Pretoria,South Africa,https://www.up.ac.za,-25.7449,28.1881
Tshwane University of Technology (TUT) - Architecture & Built Environment,Pretoria,South Africa,https://www.tut.ac.za,-25.7321,28.1631
Lerotholi Polytechnic - School of Built Environment,Maseru,Lesotho,https://www.gov.ls,-29.31,27.4833
Limkokwing University of Creative Technology - Architecture & Built Environment,Maseru,Lesotho,https://www.limkokwing.net,-29.31,27.4833
University of Eswatini - Engineering & Built Environment,Kwaluseni,Eswatini,https://www.uneswa.sz,-26.4667,31.2
Eswatini College of Technology (ECOT) - Built Environment Programs,Mbabane,Eswatini,https://www.ecot.ac.sz,-26.3054,31.1367
University of Khartoum - Faculty of Architecture & Regional & Urban Planning,Khartoum,Sudan,https://www.uofk.edu,15.5007,32.5599
"University of Juba - School of Architecture, Land Management & Urban Planning (SALMURP)",Juba,South Sudan,https://uoj.edu.ss,4.8517,31.5825
University of Juba - School of Engineering and Architecture,Juba,South Sudan,https://www.juba-university.com,4.8517,31.5825
"Ardhi University - School of Architecture, Construction Economics & Management",Dar es Salaam,Tanzania,https://www.aru.ac.tz,-6.7924,39.2083
University of Dar es Salaam - Architecture-related programs,Dar es Salaam,Tanzania,https://www.udsm.ac.tz,-6.7924,39.2083
Mbeya University of Science and Technology (MUST) - Architecture & Art Design,Mbeya,Tanzania,https://www.must.ac.tz,-8.9,33.45
University of Lomé - Architecture & Urbanism,Lomé,Togo,https://www.univ-lome.tg,6.1725,1.2314
University of Sfax - Architecture programs,Sfax,Tunisia,https://www.uss.rnu.tn,34.7406,10.7603
North American Private University - International School of Architecture,Sfax,Tunisia,http://www.nau.tn,34.7406,10.7603
University of Tunis El Manar - Faculty of Architecture,Tunis,Tunisia,https://www.utm.rnu.tn,36.8065,10.1815
University of Carthage - National School of Architecture and Urbanism (ENAU),Tunis,Tunisia,http://www.ucar.rnu.tn,36.8065,10.1815
"University of Carthage - Higher Institute of Environmental Technologies, Urban Planning & Building (ISTEUB)",Tunis,Tunisia,http://www.isteub.rnu.tn,36.8065,10.1815
Université Centrale - School of Architecture and Design,Tunis,Tunisia,https://www.universitecentrale.net,36.8065,10.1815
Université Libre de Tunis (ULT) - School of Architecture and Design,Tunis,Tunisia,https://www.ult-tunisie.com,36.8065,10.1815
Graduate School of Audiovisual and Design (ESAD) - Architecture Programs,Tunis,Tunisia,http://www.esad-tunis.com,36.8065,10.1815
Makerere University - Department of Architecture & Physical Planning,Kampala,Uganda,https://www.mak.ac.ug,0.3136,32.5811
University of Zambia - School of Built Environment,Lusaka,Zambia,https://www.unza.zm,-15.3875,28.3228
University of Zimbabwe - Department of Architecture,Harare,Zimbabwe,https://www.uz.ac.zw,-17.8252,31.0335
University of Las Palmas de Gran Canaria (ULPGC) - School of Architecture,Las Palmas,Canary Islands (Spain),https://arq.ulpgc.es,28.1235,-15.4363
Universidad Europea de Canarias - School of Architecture,La Orotava,Canary Islands (Spain),https://universidadeuropea.com,28.3891,-16.5269
Escuela de La Construcción - Construction & Built Environment,Ceuta,Ceuta (Spain),https://www.educacionyfp.gob.es,35.8894,-5.3213
Madeira Interactive Institute (University of Madeira) - Master in Space Design,Funchal,Madeira (Portugal),https://www.uma.pt,32.6669,-16.9241
Conservatório - Escola Profissional das Artes da Madeira - Design & Architecture,Funchal,Madeira (Portugal),https://www.conservatoriodasculturas.com,32.6501,-16.9085
École nationale supérieure d'architecture de La Réunion (ENSA La Réunion),Le Port,Réunion (France),https://www.lareunion-archi.fr,-20.94,55.29
